Generation,Survivors,Avg. survivors,Avg. Sep,Sd. Sep,Avg. Align,Sd. Align,Avg. Coh,Sd. Coh
0,0.615,0.615,0.695879,0.207323,0.160994,0.146317,0.143127,0.12813
1,0.545,0.58,0.660692,0.201431,0.190874,0.146361,0.148433,0.126962
2,0.555,0.571667,0.660808,0.170472,0.195125,0.148933,0.144067,0.107069
3,0.44,0.53875,0.675448,0.135545,0.175047,0.115168,0.149505,0.101766
4,0.58,0.547,0.665594,0.110822,0.179505,0.0968852,0.154901,0.0937904
5,0.635,0.561667,0.655486,0.0918013,0.184055,0.0860019,0.160458,0.0883557
6,0.685,0.579286,0.629545,0.0964496,0.198489,0.0830821,0.171966,0.0900471
7,0.64,0.586875,0.618422,0.101351,0.199002,0.0796391,0.182575,0.0856647
8,0.68,0.597222,0.608857,0.0910033,0.20657,0.0738534,0.184573,0.082204
9,0.7,0.6075,0.606214,0.0989867,0.205692,0.072756,0.188094,0.0859025
10,0.62,0.608,0.611194,0.0852134,0.204367,0.0777801,0.184439,0.0861725
11,0.555,0.609,0.604526,0.0788687,0.206182,0.0732618,0.189292,0.086336
12,0.59,0.6125,0.606238,0.0856099,0.204482,0.082419,0.189279,0.0956592
13,0.535,0.622,0.609718,0.083469,0.198457,0.0803575,0.191825,0.0848279
14,0.535,0.6175,0.602475,0.0931102,0.196399,0.0855524,0.201126,0.085883
15,0.485,0.6025,0.603463,0.0930866,0.190038,0.07862,0.206498,0.0854926
16,0.74,0.608,0.584723,0.0911889,0.210258,0.0727699,0.205019,0.0913908
17,0.56,0.6,0.575688,0.0720011,0.219722,0.0623797,0.204591,0.075084
18,0.595,0.5915,0.571472,0.078827,0.220465,0.0642629,0.208063,0.0784802
19,0.66,0.5875,0.573328,0.0925665,0.228173,0.071945,0.198499,0.0794229
20,0.635,0.589,0.5761,0.097114,0.225582,0.0730022,0.198318,0.0754186
21,0.885,0.622,0.560979,0.0809075,0.232631,0.067141,0.20639,0.0762987
22,0.62,0.625,0.557214,0.0716251,0.236713,0.069929,0.206073,0.0809512
23,0.645,0.636,0.566581,0.0723671,0.234245,0.0619652,0.199174,0.0732373
24,0.61,0.6435,0.559352,0.0807202,0.23385,0.0688996,0.206798,0.074874
25,0.74,0.669,0.562502,0.0812313,0.227211,0.0729073,0.210288,0.0725779
26,0.575,0.6525,0.566009,0.0697925,0.227306,0.0696639,0.206685,0.0725156
27,0.6,0.6565,0.56468,0.0680022,0.22973,0.0659116,0.20559,0.0699723
28,0.695,0.6665,0.577429,0.0856066,0.217018,0.0734311,0.205553,0.0722871
29,0.445,0.645,0.581129,0.0960457,0.212535,0.0782203,0.206336,0.0719873
30,0.53,0.6345,0.568265,0.0812722,0.217731,0.0717383,0.214004,0.0585058
31,0.755,0.6215,0.55859,0.072723,0.221419,0.0657121,0.21999,0.0626292
32,0.725,0.632,0.546027,0.0593018,0.228301,0.0591475,0.225672,0.0581519
33,0.54,0.6215,0.538951,0.0605422,0.226559,0.0579204,0.234491,0.0497985
34,0.64,0.6245,0.54547,0.0679351,0.212001,0.0624919,0.242529,0.0651275
35,0.555,0.606,0.54844,0.0802419,0.209388,0.065396,0.242172,0.0699795
36,0.59,0.6075,0.545104,0.0873673,0.214594,0.080644,0.240302,0.0742741
37,0.665,0.614,0.546974,0.0928171,0.211397,0.0883978,0.241629,0.0819271
38,0.61,0.6055,0.54992,0.0852852,0.206642,0.0795278,0.243438,0.0867971
39,0.705,0.6315,0.531812,0.0803501,0.21462,0.0707697,0.253568,0.0832263
40,0.68,0.6465,0.525251,0.0784376,0.217066,0.0666298,0.257682,0.0733318
41,0.45,0.616,0.526987,0.0863216,0.219086,0.0695818,0.253927,0.0796705
42,0.565,0.6,0.532288,0.0858784,0.212431,0.0659937,0.255281,0.0726706
43,0.51,0.597,0.532522,0.0776965,0.210027,0.0567559,0.257452,0.0662989
44,0.68,0.601,0.529023,0.0664432,0.213358,0.054116,0.257619,0.0657631
45,0.68,0.6135,0.543681,0.0778284,0.20299,0.0623435,0.253329,0.0723
46,0.69,0.6235,0.530936,0.07639,0.213913,0.053229,0.255151,0.0741278
47,0.62,0.619,0.530638,0.0724078,0.205056,0.0574039,0.264306,0.0630932
48,0.665,0.6245,0.527464,0.0738967,0.213541,0.0530113,0.258995,0.0591576
49,0.73,0.627,0.526738,0.0812956,0.217704,0.0672591,0.255559,0.0716937
50,0.505,0.6095,0.52673,0.0697414,0.22169,0.0606253,0.251581,0.0722579
51,0.615,0.626,0.527307,0.0712968,0.217851,0.0580782,0.254841,0.0706274
52,0.605,0.63,0.525229,0.0630892,0.21771,0.0521167,0.257061,0.063616
53,0.675,0.6465,0.52694,0.0693874,0.211124,0.0586445,0.261937,0.0602683
54,0.585,0.637,0.531334,0.0636742,0.208939,0.0523641,0.259727,0.0633847
55,0.595,0.6285,0.527763,0.0637906,0.202809,0.0568118,0.269429,0.0653207
56,0.645,0.624,0.521103,0.0683275,0.20595,0.052435,0.272947,0.0690726
57,0.635,0.6255,0.522424,0.0673798,0.214139,0.0435049,0.263438,0.062991
58,0.7,0.629,0.519207,0.0687494,0.214831,0.0515155,0.265962,0.0590989
59,0.655,0.6215,0.50734,0.0764918,0.221015,0.0645519,0.271645,0.06331
60,0.66,0.637,0.504515,0.0738915,0.215688,0.0610839,0.279797,0.0706966
61,0.585,0.634,0.498274,0.0627268,0.220388,0.049974,0.281337,0.0619068
62,0.695,0.643,0.498725,0.0611855,0.214335,0.047533,0.28694,0.0626542
63,0.59,0.6345,0.497519,0.0684639,0.212662,0.0517536,0.289818,0.064112
64,0.635,0.6395,0.494521,0.0640251,0.208984,0.0536748,0.296495,0.0565382
65,0.555,0.6355,0.50281,0.0639509,0.211236,0.05981,0.285954,0.0609262
66,0.61,0.632,0.502554,0.0697199,0.196573,0.0562962,0.300872,0.0631137
67,0.59,0.6275,0.492997,0.0658597,0.197212,0.0572848,0.309791,0.064905
68,0.485,0.606,0.483559,0.0619487,0.200935,0.0534454,0.315506,0.0643139
69,0.76,0.6165,0.476572,0.0641464,0.203541,0.0562004,0.319887,0.0517539
70,0.715,0.622,0.476032,0.0588626,0.204205,0.0486066,0.319763,0.0539024
71,0.6,0.6235,0.476688,0.0573874,0.20195,0.0481541,0.321362,0.0478586
72,0.56,0.61,0.478734,0.0587606,0.202575,0.0536457,0.318691,0.0523207
73,0.675,0.6185,0.485401,0.0562402,0.205615,0.0440354,0.308984,0.0473354
74,0.605,0.6155,0.490301,0.0589368,0.196554,0.0526374,0.313145,0.0445328
75,0.57,0.617,0.482466,0.0569657,0.207513,0.0478627,0.310022,0.04569
76,0.735,0.6295,0.482319,0.0524496,0.205973,0.0542366,0.311708,0.0362716
77,0.725,0.643,0.479258,0.0517932,0.211433,0.0493888,0.309309,0.0451724
78,0.71,0.6655,0.477244,0.0526538,0.210957,0.0515054,0.311799,0.0491763
79,0.57,0.6465,0.468919,0.0548659,0.220527,0.0499093,0.310554,0.0491966
80,0.85,0.66,0.470817,0.0598129,0.216348,0.0553519,0.312835,0.0551518
81,0.62,0.662,0.465247,0.0628751,0.214909,0.0627709,0.319844,0.0601196
82,0.565,0.6625,0.453837,0.0660181,0.226753,0.0630433,0.31941,0.0643081
83,0.7,0.665,0.443801,0.0648977,0.225983,0.0620521,0.330217,0.0615421
84,0.625,0.667,0.442651,0.0593787,0.228183,0.0532112,0.329167,0.0570815
85,0.735,0.6835,0.439134,0.0584216,0.235793,0.0518964,0.325073,0.0569071
86,0.72,0.682,0.436347,0.0550053,0.239284,0.0487634,0.324369,0.05533
87,0.695,0.679,0.438893,0.0516605,0.241307,0.0467307,0.319801,0.0581491
88,0.635,0.6715,0.437844,0.0616564,0.236339,0.0502586,0.325817,0.0581773
89,0.815,0.696,0.434217,0.0553447,0.23613,0.0424844,0.329653,0.0561795
90,0.645,0.6755,0.425178,0.0507117,0.233425,0.043689,0.341397,0.0505626
91,0.695,0.683,0.421921,0.052166,0.227526,0.0505002,0.350554,0.0467223
92,0.64,0.6905,0.417395,0.0517479,0.230085,0.0490799,0.35252,0.0512391
93,0.625,0.683,0.408625,0.0624376,0.233468,0.053779,0.357907,0.0573448
94,0.635,0.684,0.409436,0.0567578,0.23762,0.0567024,0.352944,0.0543236
95,0.46,0.6565,0.406015,0.0487062,0.241186,0.0541962,0.352799,0.0543931
96,0.725,0.657,0.405726,0.0524007,0.240588,0.0504722,0.353686,0.0530025
97,0.76,0.6635,0.413676,0.0550724,0.223729,0.0556985,0.362595,0.0507951
98,0.605,0.6605,0.400257,0.0512235,0.230525,0.0501229,0.369218,0.0495305
99,0.5,0.629,0.403012,0.0491564,0.232208,0.0513094,0.364781,0.0464137
100,0.74,0.6385,0.400374,0.0530041,0.238317,0.0565002,0.361309,0.0449634
101,0.645,0.6335,0.390725,0.0543595,0.237746,0.0581889,0.371528,0.0517726
102,0.795,0.649,0.394027,0.0497988,0.2407,0.0547428,0.365273,0.0546126
103,0.65,0.6515,0.393886,0.0553042,0.236071,0.0576213,0.370043,0.0598519
104,0.725,0.6605,0.382588,0.0484298,0.242146,0.0497488,0.375266,0.0525443
105,0.83,0.6975,0.380295,0.0483929,0.242872,0.0467951,0.376833,0.0500529
106,0.71,0.696,0.381119,0.0474478,0.244715,0.0481657,0.374167,0.0512061
107,0.785,0.6985,0.379403,0.0561128,0.242307,0.0543839,0.37829,0.0577153
108,0.62,0.7,0.380287,0.0577682,0.233108,0.0609485,0.386605,0.0554967
109,0.585,0.7085,0.374501,0.0497738,0.235849,0.0594518,0.38965,0.0573988
110,0.745,0.709,0.378765,0.0574357,0.230726,0.0583739,0.390508,0.055781
111,0.645,0.709,0.376765,0.0651485,0.235797,0.0587961,0.387438,0.057022
112,0.535,0.683,0.381754,0.0599687,0.226977,0.0541301,0.391268,0.0504967
113,0.68,0.686,0.378778,0.0553525,0.230151,0.0517044,0.391071,0.0463394
114,0.665,0.68,0.379491,0.0542558,0.222921,0.0562219,0.397588,0.0520859
115,0.585,0.6555,0.380824,0.0524679,0.218978,0.057317,0.400198,0.0563046
116,0.58,0.6425,0.378077,0.055235,0.227198,0.0620143,0.394725,0.0551873
117,0.825,0.6465,0.379043,0.06016,0.221333,0.0592683,0.399625,0.0561821
118,0.615,0.646,0.377077,0.0602403,0.22625,0.0549873,0.396673,0.0619402
119,0.72,0.6595,0.365024,0.0623425,0.2275,0.046811,0.407476,0.0564627
120,0.79,0.664,0.368032,0.0545818,0.227453,0.04456,0.404515,0.0516839
121,0.665,0.666,0.369028,0.0551296,0.222446,0.0508884,0.408526,0.0515399
122,0.62,0.6745,0.370777,0.0561356,0.228908,0.0466559,0.400316,0.0538639
123,0.74,0.6805,0.361194,0.0556444,0.228711,0.0472051,0.410095,0.0557307
124,0.495,0.6635,0.367565,0.0582427,0.227148,0.0556216,0.405288,0.0668511
125,0.78,0.683,0.376762,0.0569477,0.234977,0.0533322,0.388262,0.0608019
126,0.6,0.685,0.375508,0.054742,0.23169,0.0516969,0.392802,0.0588194
127,0.755,0.678,0.382304,0.0523855,0.237853,0.0515229,0.379843,0.055854
128,0.595,0.676,0.385813,0.0545672,0.241279,0.0552174,0.372908,0.0580764
129,0.715,0.6755,0.392434,0.0588569,0.228975,0.0568958,0.378591,0.0615152
130,0.7,0.6665,0.388856,0.0524261,0.220917,0.0558509,0.390227,0.0628777
131,0.605,0.6605,0.382175,0.0487216,0.229376,0.0504964,0.388449,0.0574282
132,0.67,0.6655,0.38504,0.048296,0.237559,0.0531491,0.377401,0.0576732
133,0.635,0.655,0.38435,0.056322,0.242098,0.0611858,0.373552,0.0552334
134,0.775,0.683,0.377637,0.0532646,0.241084,0.0641978,0.381279,0.0523301
135,0.675,0.6725,0.374343,0.0478902,0.242082,0.0600583,0.383575,0.0512783
136,0.665,0.679,0.368966,0.0539984,0.246169,0.0645598,0.384865,0.0534557
137,0.8,0.6835,0.372417,0.0574038,0.23364,0.0648879,0.393943,0.0693094
138,0.72,0.696,0.364276,0.0573656,0.235945,0.0580425,0.399778,0.0638299
139,0.595,0.684,0.364092,0.0612695,0.232717,0.0582934,0.403191,0.0686483
140,0.75,0.689,0.362444,0.0637889,0.236885,0.0706566,0.400671,0.0798833
141,0.69,0.6975,0.362387,0.0692407,0.242083,0.0687606,0.39553,0.0865107
142,0.73,0.7035,0.363524,0.0727302,0.250603,0.0704782,0.385873,0.0889358
143,0.595,0.6995,0.366586,0.0768876,0.252072,0.0763268,0.381343,0.100766
144,0.555,0.6775,0.372883,0.0767601,0.250976,0.0725473,0.376142,0.0911923
145,0.785,0.6885,0.372283,0.066365,0.239843,0.0648603,0.387874,0.0675445
146,0.55,0.677,0.366958,0.0659308,0.242097,0.0667379,0.390945,0.0689154
147,0.38,0.635,0.353456,0.0671268,0.255787,0.0674625,0.390757,0.0723261
148,0.68,0.631,0.356426,0.0706575,0.237226,0.0627471,0.406349,0.0709752
149,0.645,0.636,0.358877,0.0621214,0.242463,0.0585166,0.39866,0.0695268
150,0.725,0.6335,0.359262,0.060085,0.242066,0.0552137,0.398672,0.065072
151,0.81,0.6455,0.354471,0.0534834,0.244281,0.0472773,0.401248,0.0582349
152,0.645,0.637,0.352431,0.0553859,0.244616,0.0543083,0.402953,0.0543681
153,0.68,0.6455,0.347573,0.0573594,0.244241,0.0496204,0.408186,0.0527376
154,0.735,0.6635,0.347807,0.05712,0.251338,0.0497532,0.400855,0.0534151
155,0.62,0.647,0.339615,0.0521975,0.254567,0.0451023,0.405818,0.0492393
156,0.745,0.6665,0.34095,0.0511089,0.249647,0.0428538,0.409403,0.0554812
157,0.725,0.701,0.344344,0.0487451,0.254184,0.0407713,0.401472,0.0576301
158,0.67,0.7,0.348413,0.0624959,0.258544,0.0420169,0.393044,0.0638182
159,0.57,0.6925,0.348658,0.0633789,0.260467,0.050923,0.390875,0.0635715
160,0.49,0.669,0.344122,0.0478086,0.257961,0.0485428,0.397918,0.0513162
161,0.81,0.669,0.341884,0.0489715,0.261568,0.056312,0.396548,0.0602829
162,0.695,0.674,0.341687,0.0557222,0.259738,0.0512039,0.398575,0.0573014
163,0.73,0.679,0.342946,0.0577834,0.249643,0.0616848,0.407412,0.0615474
164,0.795,0.685,0.333217,0.0579921,0.248561,0.0641657,0.418222,0.0617068
165,0.675,0.6905,0.323059,0.0516377,0.260858,0.054967,0.416083,0.0529853
166,0.615,0.6775,0.318813,0.0551271,0.266419,0.0532156,0.414768,0.0555912
167,0.805,0.6855,0.319258,0.0534684,0.259335,0.049868,0.421407,0.0550088
168,0.805,0.699,0.32277,0.0558808,0.258527,0.0490482,0.418703,0.0546084
169,0.745,0.7165,0.3229,0.056439,0.256758,0.0473497,0.420342,0.0537234
170,0.74,0.7415,0.324086,0.0569469,0.255817,0.0472187,0.420097,0.055294
171,0.685,0.729,0.319423,0.0522934,0.26283,0.0470702,0.417747,0.0497849
172,0.695,0.729,0.319546,0.0552097,0.26358,0.0471461,0.416874,0.0553365
173,0.77,0.733,0.320205,0.0505555,0.266264,0.0449711,0.413531,0.0556489
174,0.595,0.713,0.32476,0.0493238,0.264007,0.0500264,0.411233,0.0545558
175,0.84,0.7295,0.321438,0.0505316,0.266403,0.0461854,0.412159,0.05682
176,0.79,0.747,0.323055,0.0506759,0.268596,0.0506808,0.408349,0.0591122
177,0.565,0.723,0.317907,0.0526296,0.263864,0.0531738,0.41823,0.0624646
178,0.72,0.7145,0.321662,0.0556183,0.257868,0.0568161,0.42047,0.0649864
179,0.565,0.6965,0.316705,0.0516096,0.260719,0.0541764,0.422577,0.0657955
180,0.705,0.693,0.315863,0.0549593,0.259779,0.0636093,0.424357,0.0649984
181,0.695,0.694,0.310385,0.0485917,0.264567,0.0531875,0.425048,0.0585224
182,0.745,0.699,0.30327,0.0452487,0.264281,0.0484609,0.432449,0.0522195
183,0.65,0.687,0.302887,0.0421742,0.261443,0.0476464,0.435671,0.0502533
184,0.625,0.69,0.298195,0.0456614,0.26606,0.0454199,0.435745,0.0440275
185,0.645,0.6705,0.299222,0.0407794,0.262183,0.0428209,0.438595,0.0440298
186,0.595,0.651,0.30762,0.04382,0.25625,0.0470678,0.43613,0.0468375
187,0.765,0.671,0.309481,0.0382682,0.256901,0.046805,0.433619,0.0486465
188,0.755,0.6745,0.306487,0.0449716,0.255066,0.0529471,0.438448,0.0496952
189,0.695,0.6875,0.306713,0.0458215,0.258234,0.0514942,0.435054,0.0527486
190,0.6,0.677,0.304493,0.0449593,0.261624,0.0520451,0.433883,0.0523755
191,0.635,0.671,0.303282,0.0399047,0.25901,0.0501057,0.437709,0.0528154
192,0.825,0.679,0.300715,0.044186,0.255781,0.0570468,0.443503,0.0496145
193,0.68,0.682,0.296969,0.0392447,0.262925,0.0427062,0.440105,0.0446929
194,0.77,0.6965,0.294799,0.0384051,0.26601,0.0418979,0.439191,0.0455067
195,0.585,0.6905,0.297485,0.0398673,0.257786,0.0501513,0.444729,0.0468232
196,0.595,0.6905,0.295765,0.0452955,0.259461,0.0480588,0.444774,0.0435196
197,0.565,0.6705,0.291828,0.0448542,0.270428,0.0369604,0.437743,0.0431357
198,0.685,0.6635,0.294479,0.0411071,0.265473,0.0457559,0.440047,0.0465836
199,0.635,0.6575,0.296334,0.0423172,0.259511,0.0512665,0.444155,0.0461924
200,0.815,0.679,0.298699,0.0488095,0.257438,0.0518892,0.443863,0.0507335
201,0.77,0.6925,0.283357,0.0419476,0.269844,0.04897,0.446799,0.0488478
202,0.81,0.691,0.289078,0.0428206,0.273507,0.0523758,0.437415,0.0487947
203,0.65,0.688,0.285325,0.0431679,0.273801,0.0639453,0.440874,0.0585928
